Format Version,1.23,Take Name,Take 2020-10-05 02.17.12 PM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-10-05 02.17.13.348 PM,Total Frames in Take,5032,Total Exported Frames,5032,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
993,3.972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,3.976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,3.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,3.984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,3.988000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,3.992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,3.996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,4.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,4.008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,4.012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,4.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,4.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,4.024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,4.028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,4.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,4.036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,4.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,4.044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,4.048000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,4.052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,4.056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,4.060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,4.064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,4.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,4.072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,4.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,4.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,4.084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,4.088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,4.092000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,4.096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,4.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,4.104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,4.108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,4.112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,4.116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,4.120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,4.124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,4.128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,4.132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,4.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,4.140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,4.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,4.148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,4.152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,4.156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,4.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,4.164000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,4.168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,4.172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,4.176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,4.180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,4.184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,4.188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,4.192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,4.196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,4.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,4.204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,4.208000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,4.212000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,4.216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,4.220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,4.224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,4.228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,4.232000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,4.236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,4.240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,4.244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,4.248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,4.252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,4.256000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,4.260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,4.264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,4.268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,4.272000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,4.276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,4.280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,4.284000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,4.288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,4.292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,4.296000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,4.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,4.304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,4.308000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,4.312000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,4.316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,4.320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,4.324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,4.328000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,4.332000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,4.336000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,4.340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,4.344000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,4.348000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,4.352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,4.356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,4.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,4.364000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,4.368000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,4.372000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,4.376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,4.380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,4.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,4.388000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,4.392000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,4.396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,4.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,4.404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,4.408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,4.412000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,4.416000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,4.420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,4.424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,4.428000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,4.432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,4.436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,4.440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,4.444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,4.448000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,4.452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,4.456000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,4.460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,4.464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,4.468000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,4.472000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,4.476000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,4.480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,4.484000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,4.488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,4.492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,4.496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,4.504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,4.508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,4.512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,4.516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,4.520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,4.524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,4.528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,4.532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,4.536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,4.540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,4.544000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,4.548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,4.552000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,4.556000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,4.560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,4.564000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,4.568000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,4.572000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,4.576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,4.580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,4.584000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,4.588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,4.592000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,4.596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,4.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,4.604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,4.608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,4.612000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,4.616000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,4.620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,4.624000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,4.628000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,4.632000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,4.636000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,4.640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,4.644000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,4.648000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,4.652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,4.656000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,4.660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,4.664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,4.668000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,4.672000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,4.676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,4.680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,4.684000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,4.688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,4.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,4.696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,4.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,4.704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,4.708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,4.712000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,4.716000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,4.720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,4.724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,4.728000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,4.732000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,4.736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,4.740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,4.744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,4.748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,4.752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,4.756000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,4.760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,4.764000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,4.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,4.772000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,4.776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,4.780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,4.784000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,4.788000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,4.792000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,4.796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,4.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,4.804000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,4.808000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,4.812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,4.816000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,4.820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,4.824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,4.828000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,4.832000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,4.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,4.840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,4.844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,4.848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,4.852000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,4.856000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,4.860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,4.864000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,4.868000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,4.872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,4.876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,4.880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,4.884000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,4.888000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,4.892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,4.896000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,4.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,4.904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,4.908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,4.912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,4.916000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,4.920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,4.924000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,4.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,4.932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,4.936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,4.940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,4.944000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,4.948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,4.952000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,4.956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,4.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,4.964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,4.968000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,4.972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,4.976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,4.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,4.984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,4.988000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,4.992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,4.996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,5.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,5.008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,5.012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,5.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,5.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,5.024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,5.028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,5.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,5.036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,5.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,5.044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,5.048000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,5.052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,5.056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,5.060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,5.064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,5.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,5.072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,5.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,5.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,5.084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,5.088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,5.092000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,5.096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,5.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,5.104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,5.108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,5.112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,5.116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,5.120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,5.124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,5.128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,5.132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
