Format Version,1.23,Take Name,Take 2020-08-24 12.15.51 PM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-08-24 12.15.52.068 PM,Total Frames in Take,11299,Total Exported Frames,11299,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1445,5.780000,,,,,,,0.853113,0.912778,1.586576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,5.784000,,,,,,,0.850981,0.914850,1.585598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,5.788000,,,,,,,0.851510,0.918961,1.585491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,5.792000,,,,,,,0.846810,0.918966,1.583832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,5.796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,5.800000,,,,,,,0.842950,0.923283,1.582284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,5.804000,,,,,,,0.840733,0.925280,1.581474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,5.808000,,,,,,,0.838476,0.927296,1.580696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,5.812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,5.816000,,,,,,,0.835076,0.931927,1.579566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,5.820000,,,,,,,0.833627,0.934545,1.579178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,5.824000,,,,,,,0.831186,0.936248,1.578555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,5.828000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,5.832000,,,,,,,0.827747,0.940826,1.577878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,5.836000,,,,,,,0.825695,0.942887,1.577507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,5.840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,5.844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,5.848000,,,,,,,0.819473,0.948977,1.576700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,5.852000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,5.856000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,5.860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,5.864000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,5.868000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,5.872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,5.876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,5.880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,5.884000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,5.888000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,5.892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,5.896000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,5.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,5.904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,5.908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,5.912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,5.916000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,5.920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,5.924000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,5.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,5.932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,5.936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,5.940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,5.944000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,5.948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,5.952000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,5.956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,5.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,5.964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,5.968000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,5.972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,5.976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,5.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,5.984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,5.988000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,5.992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,5.996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,6.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,6.008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,6.012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,6.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,6.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,6.024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,6.028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,6.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,6.036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,6.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,6.044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,6.048000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,6.052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,6.056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,6.060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,6.064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,6.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,6.072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,6.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,6.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,6.084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,6.088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,6.092000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,6.096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,6.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,6.104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,6.108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,6.112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,6.116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,6.120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,6.124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,6.128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,6.132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,6.136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,6.140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,6.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,6.148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,6.152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,6.156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,6.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,6.164000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,6.168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,6.172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,6.176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,6.180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,6.184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,6.188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,6.192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,6.196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,6.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,6.204000,,,,,,,,,,0.452062,1.103917,1.650730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,6.208000,,,,,,,,,,0.445405,1.105732,1.650017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,6.212000,,,,,,,,,,0.438817,1.107630,1.649255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,6.216000,,,,,,,,,,0.432230,1.109534,1.648427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,6.220000,,,,,,,,,,0.425668,1.111461,1.647534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,6.224000,,,,,,,,,,0.419116,1.113412,1.646590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,6.228000,,,,,,,,,,0.412678,1.115356,1.645543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,6.232000,,,,,,,,,,0.406209,1.117375,1.644457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,6.236000,,,,,,,,,,0.399752,1.119436,1.643293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,6.240000,,,,,,,,,,0.393307,1.121503,1.642033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,6.244000,,,,,,,,,,0.386968,1.123593,1.640847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,6.248000,,,,,,,,,,0.380628,1.125746,1.639522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,6.252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,6.256000,,,,,,,,,,0.367945,1.130048,1.636657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,6.260000,,,,,,,,,,0.361749,1.132268,1.635162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,6.264000,,,,,,,,,,0.355512,1.134550,1.633557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,6.268000,,,,,,,,,,0.349439,1.136734,1.632014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,6.272000,,,,,,,,,,0.343438,1.138884,1.630243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,6.276000,,,,,,,,,,0.337488,1.141041,1.628578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,6.280000,,,,,,,,,,0.331604,1.143214,1.626700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,6.284000,,,,,,,,,,0.325853,1.145285,1.624874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,6.288000,,,,,,,,,,0.320003,1.147448,1.622948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,6.292000,,,,,,,,,,0.317031,1.147397,1.622876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,6.296000,,,,,,,,,,0.311338,1.149517,1.620788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,6.300000,,,,,,,,,,0.305720,1.151621,1.618674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,6.304000,,,,,,,,,,0.300120,1.153735,1.616515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,6.308000,,,,,,,,,,0.294675,1.155762,1.614279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,6.312000,,,,,,,,,,0.289262,1.157784,1.612032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,6.316000,,,,,,,,,,0.283929,1.159798,1.609757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,6.320000,,,,,,,,,,0.278791,1.161677,1.607412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,6.324000,,,,,,,,,,0.271393,1.165475,1.603274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,6.328000,,,,,,,,,,0.266394,1.167299,1.600875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,6.332000,,,,,,,,,,0.261396,1.169157,1.598462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,6.336000,,,,,,,,,,0.258491,1.169341,1.597602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,6.340000,,,,,,,,,,0.251856,1.172625,1.593523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,6.344000,,,,,,,,,,0.249017,1.172765,1.592517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,6.348000,,,,,,,,,,0.244438,1.174441,1.589919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,6.352000,,,,,,,,,,0.239813,1.176136,1.587393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,6.356000,,,,,,,,,,0.235417,1.177761,1.584843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,6.360000,,,,,,,,,,0.229527,1.180709,1.580686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,6.364000,,,,,,,,,,0.226966,1.180838,1.579581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,6.368000,,,,,,,,,,0.222811,1.182404,1.577064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,6.372000,,,,,,,,,,0.218848,1.183800,1.574483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,6.376000,,,,,,,,,,0.214983,1.185221,1.571897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,6.380000,,,,,,,,,,0.211154,1.186629,1.569301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,6.384000,,,,,,,,,,0.205887,1.189426,1.565393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,6.388000,,,,,,,,,,0.203710,1.189589,1.564224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,6.392000,,,,,,,,,,0.200272,1.190876,1.561548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,6.396000,,,,,,,,,,0.195098,1.193632,1.557697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,6.400000,,,,,,,,,,0.191891,1.194878,1.555244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,6.404000,,,,,,,,,,0.188547,1.196232,1.552741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,6.408000,,,,,,,,,,0.186707,1.196293,1.551356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,6.412000,,,,,,,,,,0.182141,1.198839,1.547620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,6.416000,,,,,,,,,,0.178988,1.200169,1.545058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,6.420000,,,,,,,,,,0.175976,1.201394,1.542546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,6.424000,,,,,,,,,,0.173212,1.202552,1.540120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,6.428000,,,,,,,,,,0.170373,1.203720,1.537649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,6.432000,,,,,,,,,,0.167753,1.205071,1.534741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,6.436000,,,,,,,,,,0.165188,1.206109,1.532217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,6.440000,,,,,,,,,,0.162485,1.207084,1.530175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,6.444000,,,,,,,,,,0.160100,1.208075,1.527762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,6.448000,,,,,,,,,,0.157660,1.209150,1.525357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,6.452000,,,,,,,,,,0.155406,1.210096,1.522957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,6.456000,,,,,,,,,,0.153188,1.211071,1.520491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,6.460000,,,,,,,,,,0.150938,1.212120,1.518039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,6.464000,,,,,,,,,,0.148857,1.213018,1.515711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,6.468000,,,,,,,,,,0.146863,1.213894,1.513397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,6.472000,,,,,,,,,,0.144962,1.214720,1.511134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,6.476000,,,,,,,,,,0.142986,1.215644,1.508857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,6.480000,,,,,,,,,,0.141344,1.216353,1.506588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,6.484000,,,,,,,,,,0.139660,1.217048,1.504407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,6.488000,,,,,,,,,,0.137995,1.217830,1.502175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,6.492000,,,,,,,,,,0.136508,1.218467,1.500073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,6.496000,,,,,,,,,,0.135066,1.219008,1.498000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,6.500000,,,,,,,,,,0.133958,1.219399,1.496086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,6.504000,,,,,,,,,,0.132782,1.219768,1.494124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,6.508000,,,,,,,,,,0.131585,1.220153,1.492179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,6.512000,,,,,,,,,,0.130709,1.220367,1.490367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,6.516000,,,,,,,,,,0.129725,1.220616,1.488509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,6.520000,,,,,,,,,,0.129037,1.220654,1.486823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,6.524000,,,,,,,,,,0.128229,1.220863,1.485140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,6.528000,,,,,,,,,,0.127690,1.220785,1.483421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,6.532000,,,,,,,,,,0.127126,1.220717,1.481713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,6.536000,,,,,,,,,,0.126528,1.220833,1.480008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,6.540000,,,,,,,,,,0.126186,1.220705,1.478334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,6.544000,,,,,,,,,,0.125875,1.220482,1.476688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,6.548000,,,,,,,,,,0.125606,1.220311,1.475074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,6.552000,,,,,,,,,,0.125429,1.220155,1.473480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,6.556000,,,,,,,,,,0.125308,1.219914,1.471992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,6.560000,,,,,,,,,,0.125185,1.219621,1.470423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,6.564000,,,,,,,,,,0.125153,1.219370,1.468832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,6.568000,,,,,,,,,,0.125167,1.219136,1.467269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,6.572000,,,,,,,,,,0.125243,1.218895,1.465719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,6.576000,,,,,,,,,,0.125321,1.218585,1.464213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,6.580000,,,,,,,,,,0.125509,1.218202,1.462894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,6.584000,,,,,,,,,,0.127522,1.216613,1.461022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,6.588000,,,,,,,,,,0.126279,1.217278,1.459988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,6.592000,,,,,,,,,,0.126602,1.216890,1.458595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,6.596000,,,,,,,,,,0.127041,1.216446,1.457422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,6.600000,,,,,,,,,,0.127760,1.215786,1.456134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,6.604000,,,,,,,,,,0.128238,1.215340,1.454854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,6.608000,,,,,,,,,,0.129102,1.214582,1.453809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,6.612000,,,,,,,,,,0.129749,1.214043,1.452628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,6.616000,,,,,,,,,,0.130692,1.213235,1.451549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,6.620000,,,,,,,,,,0.131700,1.212416,1.450560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,6.624000,,,,,,,,,,0.132581,1.211640,1.449446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,6.628000,,,,,,,,,,0.133777,1.210685,1.448584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,6.632000,,,,,,,,,,0.135030,1.209652,1.447544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,6.636000,,,,,,,,,,0.136320,1.208580,1.446650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,6.640000,,,,,,,,,,0.137656,1.207510,1.445731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,6.644000,,,,,,,,,,0.139026,1.206380,1.444777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,6.648000,,,,,,,,,,0.140516,1.205151,1.443959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,6.652000,,,,,,,,,,0.142001,1.203935,1.443003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,6.656000,,,,,,,,,,0.143562,1.202658,1.442253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,6.660000,,,,,,,,,,0.145144,1.201393,1.441300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,6.664000,,,,,,,,,,0.146783,1.200081,1.440646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,6.668000,,,,,,,,,,0.148606,1.198636,1.439776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,6.672000,,,,,,,,,,0.150449,1.197162,1.439128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,6.676000,,,,,,,,,,0.152208,1.195750,1.438280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,6.680000,,,,,,,,,,0.154039,1.194340,1.437702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,6.684000,,,,,,,,,,0.156178,1.192645,1.436994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
