Format Version,1.23,Take Name,Take 2020-10-12 01.44.55 PM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-10-12 01.44.55.875 PM,Total Frames in Take,4605,Total Exported Frames,4605,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1243,4.972000,,,,,,,,,,,,,,,,,,,,,,,,
1244,4.976000,,,,,,,,,,,,,,,,,,,,,,,,
1245,4.980000,,,,,,,,,,,,,,,,,,,,,,,,
1246,4.984000,,,,,,,,,,,,,,,,,,,,,,,,
1247,4.988000,,,,,,,,,,,,,,,,,,,,,,,,
1248,4.992000,,,,,,,,,,,,,,,,,,,,,,,,
1249,4.996000,,,,,,,,,,,,,,,,,,,,,,,,
1250,5.000000,,,,,,,,,,,,,,,,,,,,,,,,
1251,5.004000,,,,,,,,,,,,,,,,,,,,,,,,
1252,5.008000,,,,,,,,,,,,,,,,,,,,,,,,
1253,5.012000,,,,,,,,,,,,,,,,,,,,,,,,
1254,5.016000,,,,,,,,,,,,,,,,,,,,,,,,
1255,5.020000,,,,,,,,,,,,,,,,,,,,,,,,
1256,5.024000,,,,,,,,,,,,,,,,,,,,,,,,
1257,5.028000,,,,,,,,,,,,,,,,,,,,,,,,
1258,5.032000,,,,,,,,,,,,,,,,,,,,,,,,
1259,5.036000,,,,,,,,,,,,,,,,,,,,,,,,
1260,5.040000,,,,,,,,,,,,,,,,,,,,,,,,
1261,5.044000,,,,,,,,,,,,,,,,,,,,,,,,
1262,5.048000,,,,,,,,,,,,,,,,,,,,,,,,
1263,5.052000,,,,,,,,,,,,,,,,,,,,,,,,
1264,5.056000,,,,,,,,,,,,,,,,,,,,,,,,
1265,5.060000,,,,,,,,,,,,,,,,,,,,,,,,
1266,5.064000,,,,,,,,,,,,,,,,,,,,,,,,
1267,5.068000,,,,,,,,,,,,,,,,,,,,,,,,
1268,5.072000,,,,,,,,,,,,,,,,,,,,,,,,
1269,5.076000,,,,,,,,,,,,,,,,,,,,,,,,
1270,5.080000,,,,,,,,,,,,,,,,,,,,,,,,
1271,5.084000,,,,,,,,,,,,,,,,,,,,,,,,
1272,5.088000,,,,,,,,,,,,,,,,,,,,,,,,
1273,5.092000,,,,,,,,,,,,,,,,,,,,,,,,
1274,5.096000,,,,,,,,,,,,,,,,,,,,,,,,
1275,5.100000,,,,,,,,,,,,,,,,,,,,,,,,
1276,5.104000,,,,,,,,,,,,,,,,,,,,,,,,
1277,5.108000,,,,,,,,,,,,,,,,,,,,,,,,
1278,5.112000,,,,,,,,,,,,,,,,,,,,,,,,
1279,5.116000,,,,,,,,,,,,,,,,,,,,,,,,
1280,5.120000,,,,,,,,,,,,,,,,,,,,,,,,
1281,5.124000,,,,,,,,,,,,,,,,,,,,,,,,
1282,5.128000,,,,,,,,,,,,,,,,,,,,,,,,
1283,5.132000,,,,,,,,,,,,,,,,,,,,,,,,
1284,5.136000,,,,,,,,,,,,,,,,,,,,,,,,
1285,5.140000,,,,,,,,,,,,,,,,,,,,,,,,
1286,5.144000,,,,,,,,,,,,,,,,,,,,,,,,
1287,5.148000,,,,,,,,,,,,,,,,,,,,,,,,
1288,5.152000,,,,,,,,,,,,,,,,,,,,,,,,
1289,5.156000,,,,,,,,,,,,,,,,,,,,,,,,
1290,5.160000,,,,,,,,,,,,,,,,,,,,,,,,
1291,5.164000,,,,,,,,,,,,,,,,,,,,,,,,
1292,5.168000,,,,,,,,,,,,,,,,,,,,,,,,
1293,5.172000,,,,,,,,,,,,,,,,,,,,,,,,
1294,5.176000,,,,,,,,,,,,,,,,,,,,,,,,
1295,5.180000,,,,,,,,,,,,,,,,,,,,,,,,
1296,5.184000,,,,,,,,,,,,,,,,,,,,,,,,
1297,5.188000,,,,,,,,,,,,,,,,,,,,,,,,
1298,5.192000,,,,,,,,,,,,,,,,,,,,,,,,
1299,5.196000,,,,,,,,,,,,,,,,,,,,,,,,
1300,5.200000,,,,,,,,,,,,,,,,,,,,,,,,
1301,5.204000,,,,,,,,,,,,,,,,,,,,,,,,
1302,5.208000,,,,,,,,,,,,,,,,,,,,,,,,
1303,5.212000,,,,,,,,,,,,,,,,,,,,,,,,
1304,5.216000,,,,,,,,,,,,,,,,,,,,,,,,
1305,5.220000,,,,,,,,,,,,,,,,,,,,,,,,
1306,5.224000,,,,,,,,,,,,,,,,,,,,,,,,
1307,5.228000,,,,,,,,,,,,,,,,,,,,,,,,
1308,5.232000,,,,,,,,,,,,,,,,,,,,,,,,
1309,5.236000,,,,,,,,,,,,,,,,,,,,,,,,
1310,5.240000,,,,,,,,,,,,,,,,,,,,,,,,
1311,5.244000,,,,,,,,,,,,,,,,,,,,,,,,
1312,5.248000,,,,,,,,,,,,,,,,,,,,,,,,
1313,5.252000,,,,,,,,,,,,,,,,,,,,,,,,
1314,5.256000,,,,,,,,,,,,,,,,,,,,,,,,
1315,5.260000,,,,,,,,,,,,,,,,,,,,,,,,
1316,5.264000,,,,,,,,,,,,,,,,,,,,,,,,
1317,5.268000,,,,,,,,,,,,,,,,,,,,,,,,
1318,5.272000,,,,,,,,,,,,,,,,,,,,,,,,
1319,5.276000,,,,,,,,,,,,,,,,,,,,,,,,
1320,5.280000,,,,,,,,,,,,,,,,,,,,,,,,
1321,5.284000,,,,,,,,,,,,,,,,,,,,,,,,
1322,5.288000,,,,,,,,,,,,,,,,,,,,,,,,
1323,5.292000,,,,,,,,,,,,,,,,,,,,,,,,
1324,5.296000,,,,,,,,,,,,,,,,,,,,,,,,
1325,5.300000,,,,,,,,,,,,,,,,,,,,,,,,
1326,5.304000,,,,,,,,,,,,,,,,,,,,,,,,
1327,5.308000,,,,,,,,,,,,,,,,,,,,,,,,
1328,5.312000,,,,,,,,,,,,,,,,,,,,,,,,
1329,5.316000,,,,,,,,,,,,,,,,,,,,,,,,
1330,5.320000,,,,,,,,,,,,,,,,,,,,,,,,
1331,5.324000,,,,,,,,,,,,,,,,,,,,,,,,
1332,5.328000,,,,,,,,,,,,,,,,,,,,,,,,
1333,5.332000,,,,,,,,,,,,,,,,,,,,,,,,
1334,5.336000,,,,,,,,,,,,,,,,,,,,,,,,
1335,5.340000,,,,,,,,,,,,,,,,,,,,,,,,
1336,5.344000,,,,,,,,,,,,,,,,,,,,,,,,
1337,5.348000,,,,,,,,,,,,,,,,,,,,,,,,
1338,5.352000,,,,,,,,,,,,,,,,,,,,,,,,
1339,5.356000,,,,,,,,,,,,,,,,,,,,,,,,
1340,5.360000,,,,,,,,,,,,,,,,,,,,,,,,
1341,5.364000,,,,,,,,,,,,,,,,,,,,,,,,
1342,5.368000,,,,,,,,,,,,,,,,,,,,,,,,
1343,5.372000,,,,,,,,,,,,,,,,,,,,,,,,
1344,5.376000,,,,,,,,,,,,,,,,,,,,,,,,
1345,5.380000,,,,,,,,,,,,,,,,,,,,,,,,
1346,5.384000,,,,,,,,,,,,,,,,,,,,,,,,
1347,5.388000,,,,,,,,,,,,,,,,,,,,,,,,
1348,5.392000,,,,,,,,,,,,,,,,,,,,,,,,
1349,5.396000,,,,,,,,,,,,,,,,,,,,,,,,
1350,5.400000,,,,,,,,,,,,,,,,,,,,,,,,
1351,5.404000,,,,,,,,,,,,,,,,,,,,,,,,
1352,5.408000,,,,,,,,,,,,,,,,,,,,,,,,
1353,5.412000,,,,,,,,,,,,,,,,,,,,,,,,
1354,5.416000,,,,,,,,,,,,,,,,,,,,,,,,
1355,5.420000,,,,,,,,,,,,,,,,,,,,,,,,
1356,5.424000,,,,,,,,,,,,,,,,,,,,,,,,
1357,5.428000,,,,,,,,,,,,,,,,,,,,,,,,
1358,5.432000,,,,,,,,,,,,,,,,,,,,,,,,
1359,5.436000,,,,,,,,,,,,,,,,,,,,,,,,
1360,5.440000,,,,,,,,,,,,,,,,,,,,,,,,
1361,5.444000,,,,,,,,,,,,,,,,,,,,,,,,
1362,5.448000,,,,,,,,,,,,,,,,,,,,,,,,
1363,5.452000,,,,,,,,,,,,,,,,,,,,,,,,
1364,5.456000,,,,,,,,,,,,,,,,,,,,,,,,
1365,5.460000,,,,,,,,,,,,,,,,,,,,,,,,
1366,5.464000,,,,,,,,,,,,,,,,,,,,,,,,
1367,5.468000,,,,,,,,,,,,,,,,,,,,,,,,
1368,5.472000,,,,,,,,,,,,,,,,,,,,,,,,
1369,5.476000,,,,,,,,,,,,,,,,,,,,,,,,
1370,5.480000,,,,,,,,,,,,,,,,,,,,,,,,
1371,5.484000,,,,,,,,,,,,,,,,,,,,,,,,
1372,5.488000,,,,,,,,,,,,,,,,,,,,,,,,
1373,5.492000,,,,,,,,,,,,,,,,,,,,,,,,
1374,5.496000,,,,,,,,,,,,,,,,,,,,,,,,
1375,5.500000,,,,,,,,,,,,,,,,,,,,,,,,
1376,5.504000,,,,,,,,,,,,,,,,,,,,,,,,
1377,5.508000,,,,,,,,,,,,,,,,,,,,,,,,
1378,5.512000,,,,,,,,,,,,,,,,,,,,,,,,
1379,5.516000,,,,,,,,,,,,,,,,,,,,,,,,
1380,5.520000,,,,,,,,,,,,,,,,,,,,,,,,
1381,5.524000,,,,,,,,,,,,,,,,,,,,,,,,
1382,5.528000,,,,,,,,,,,,,,,,,,,,,,,,
1383,5.532000,,,,,,,,,,,,,,,,,,,,,,,,
1384,5.536000,,,,,,,,,,,,,,,,,,,,,,,,
1385,5.540000,,,,,,,,,,,,,,,,,,,,,,,,
1386,5.544000,,,,,,,,,,,,,,,,,,,,,,,,
1387,5.548000,,,,,,,,,,,,,,,,,,,,,,,,
1388,5.552000,,,,,,,,,,,,,,,,,,,,,,,,
1389,5.556000,,,,,,,,,,,,,,,,,,,,,,,,
1390,5.560000,,,,,,,,,,,,,,,,,,,,,,,,
1391,5.564000,,,,,,,,,,,,,,,,,,,,,,,,
1392,5.568000,,,,,,,,,,,,,,,,,,,,,,,,
1393,5.572000,,,,,,,,,,,,,,,,,,,,,,,,
1394,5.576000,,,,,,,,,,,,,,,,,,,,,,,,
1395,5.580000,,,,,,,,,,,,,,,,,,,,,,,,
1396,5.584000,,,,,,,,,,,,,,,,,,,,,,,,
1397,5.588000,,,,,,,,,,,,,,,,,,,,,,,,
1398,5.592000,,,,,,,,,,,,,,,,,,,,,,,,
1399,5.596000,,,,,,,,,,,,,,,,,,,,,,,,
1400,5.600000,,,,,,,,,,,,,,,,,,,,,,,,
1401,5.604000,,,,,,,,,,,,,,,,,,,,,,,,
1402,5.608000,,,,,,,,,,,,,,,,,,,,,,,,
1403,5.612000,,,,,,,,,,,,,,,,,,,,,,,,
1404,5.616000,,,,,,,,,,,,,,,,,,,,,,,,
1405,5.620000,,,,,,,,,,,,,,,,,,,,,,,,
1406,5.624000,,,,,,,,,,,,,,,,,,,,,,,,
1407,5.628000,,,,,,,,,,,,,,,,,,,,,,,,
1408,5.632000,,,,,,,,,,,,,,,,,,,,,,,,
1409,5.636000,,,,,,,,,,,,,,,,,,,,,,,,
1410,5.640000,,,,,,,,,,,,,,,,,,,,,,,,
1411,5.644000,,,,,,,,,,,,,,,,,,,,,,,,
1412,5.648000,,,,,,,,,,,,,,,,,,,,,,,,
1413,5.652000,,,,,,,,,,,,,,,,,,,,,,,,
1414,5.656000,,,,,,,,,,,,,,,,,,,,,,,,
1415,5.660000,,,,,,,,,,,,,,,,,,,,,,,,
1416,5.664000,,,,,,,,,,,,,,,,,,,,,,,,
1417,5.668000,,,,,,,,,,,,,,,,,,,,,,,,
1418,5.672000,,,,,,,,,,,,,,,,,,,,,,,,
1419,5.676000,,,,,,,,,,,,,,,,,,,,,,,,
1420,5.680000,,,,,,,,,,,,,,,,,,,,,,,,
1421,5.684000,,,,,,,,,,,,,,,,,,,,,,,,
1422,5.688000,,,,,,,,,,,,,,,,,,,,,,,,
1423,5.692000,,,,,,,,,,,,,,,,,,,,,,,,
1424,5.696000,,,,,,,,,,,,,,,,,,,,,,,,
1425,5.700000,,,,,,,,,,,,,,,,,,,,,,,,
1426,5.704000,,,,,,,,,,,,,,,,,,,,,,,,
1427,5.708000,,,,,,,,,,,,,,,,,,,,,,,,
1428,5.712000,,,,,,,,,,,,,,,,,,,,,,,,
1429,5.716000,,,,,,,,,,,,,,,,,,,,,,,,
1430,5.720000,,,,,,,,,,,,,,,,,,,,,,,,
1431,5.724000,,,,,,,,,,,,,,,,,,,,,,,,
1432,5.728000,,,,,,,,,,,,,,,,,,,,,,,,
1433,5.732000,,,,,,,,,,,,,,,,,,,,,,,,
1434,5.736000,,,,,,,,,,,,,,,,,,,,,,,,
1435,5.740000,,,,,,,,,,,,,,,,,,,,,,,,
1436,5.744000,,,,,,,,,,,,,,,,,,,,,,,,
1437,5.748000,,,,,,,,,,,,,,,,,,,,,,,,
1438,5.752000,,,,,,,,,,,,,,,,,,,,,,,,
1439,5.756000,,,,,,,,,,,,,,,,,,,,,,,,
1440,5.760000,,,,,,,,,,,,,,,,,,,,,,,,
1441,5.764000,,,,,,,,,,,,,,,,,,,,,,,,
1442,5.768000,,,,,,,,,,,,,,,,,,,,,,,,
1443,5.772000,,,,,,,,,,,,,,,,,,,,,,,,
1444,5.776000,,,,,,,,,,,,,,,,,,,,,,,,
1445,5.780000,,,,,,,,,,,,,,,,,,,,,,,,
1446,5.784000,,,,,,,,,,,,,,,,,,,,,,,,
1447,5.788000,,,,,,,,,,,,,,,,,,,,,,,,
1448,5.792000,,,,,,,,,,,,,,,,,,,,,,,,
1449,5.796000,,,,,,,,,,,,,,,,,,,,,,,,
1450,5.800000,,,,,,,,,,,,,,,,,,,,,,,,
1451,5.804000,,,,,,,,,,,,,,,,,,,,,,,,
1452,5.808000,,,,,,,,,,,,,,,,,,,,,,,,
1453,5.812000,,,,,,,,,,,,,,,,,,,,,,,,
1454,5.816000,,,,,,,,,,,,,,,,,,,,,,,,
1455,5.820000,,,,,,,,,,,,,,,,,,,,,,,,
1456,5.824000,,,,,,,,,,,,,,,,,,,,,,,,
1457,5.828000,,,,,,,,,,,,,,,,,,,,,,,,
1458,5.832000,,,,,,,,,,,,,,,,,,,,,,,,
1459,5.836000,,,,,,,,,,,,,,,,,,,,,,,,
1460,5.840000,,,,,,,,,,,,,,,,,,,,,,,,
1461,5.844000,,,,,,,,,,,,,,,,,,,,,,,,
1462,5.848000,,,,,,,,,,,,,,,,,,,,,,,,
1463,5.852000,,,,,,,,,,,,,,,,,,,,,,,,
1464,5.856000,,,,,,,,,,,,,,,,,,,,,,,,
1465,5.860000,,,,,,,,,,,,,,,,,,,,,,,,
1466,5.864000,,,,,,,,,,,,,,,,,,,,,,,,
1467,5.868000,,,,,,,,,,,,,,,,,,,,,,,,
1468,5.872000,,,,,,,,,,,,,,,,,,,,,,,,
1469,5.876000,,,,,,,,,,,,,,,,,,,,,,,,
1470,5.880000,,,,,,,,,,,,,,,,,,,,,,,,
1471,5.884000,,,,,,,,,,,,,,,,,,,,,,,,
1472,5.888000,,,,,,,,,,,,,,,,,,,,,,,,
1473,5.892000,,,,,,,,,,,,,,,,,,,,,,,,
1474,5.896000,,,,,,,,,,,,,,,,,,,,,,,,
1475,5.900000,,,,,,,,,,,,,,,,,,,,,,,,
1476,5.904000,,,,,,,,,,,,,,,,,,,,,,,,
1477,5.908000,,,,,,,,,,,,,,,,,,,,,,,,
1478,5.912000,,,,,,,,,,,,,,,,,,,,,,,,
1479,5.916000,,,,,,,,,,,,,,,,,,,,,,,,
1480,5.920000,,,,,,,,,,,,,,,,,,,,,,,,
1481,5.924000,,,,,,,,,,,,,,,,,,,,,,,,
1482,5.928000,,,,,,,,,,,,,,,,,,,,,,,,
1483,5.932000,,,,,,,,,,,,,,,,,,,,,,,,
1484,5.936000,,,,,,,,,,,,,,,,,,,,,,,,
1485,5.940000,,,,,,,,,,,,,,,,,,,,,,,,
1486,5.944000,,,,,,,,,,,,,,,,,,,,,,,,
1487,5.948000,,,,,,,,,,,,,,,,,,,,,,,,
1488,5.952000,,,,,,,,,,,,,,,,,,,,,,,,
1489,5.956000,,,,,,,,,,,,,,,,,,,,,,,,
1490,5.960000,,,,,,,,,,,,,,,,,,,,,,,,
1491,5.964000,,,,,,,,,,,,,,,,,,,,,,,,
1492,5.968000,,,,,,,,,,,,,,,,,,,,,,,,
1493,5.972000,,,,,,,,,,,,,,,,,,,,,,,,
1494,5.976000,,,,,,,,,,,,,,,,,,,,,,,,
1495,5.980000,,,,,,,,,,,,,,,,,,,,,,,,
1496,5.984000,,,,,,,,,,,,,,,,,,,,,,,,
1497,5.988000,,,,,,,,,,,,,,,,,,,,,,,,
1498,5.992000,,,,,,,,,,,,,,,,,,,,,,,,
1499,5.996000,,,,,,,,,,,,,,,,,,,,,,,,
1500,6.000000,,,,,,,,,,,,,,,,,,,,,,,,
1501,6.004000,,,,,,,,,,,,,,,,,,,,,,,,
1502,6.008000,,,,,,,,,,,,,,,,,,,,,,,,
1503,6.012000,,,,,,,,,,,,,,,,,,,,,,,,
1504,6.016000,,,,,,,,,,,,,,,,,,,,,,,,
1505,6.020000,,,,,,,,,,,,,,,,,,,,,,,,
1506,6.024000,,,,,,,,,,,,,,,,,,,,,,,,
1507,6.028000,,,,,,,,,,,,,,,,,,,,,,,,
1508,6.032000,,,,,,,,,,,,,,,,,,,,,,,,
1509,6.036000,,,,,,,,,,,,,,,,,,,,,,,,
1510,6.040000,,,,,,,,,,,,,,,,,,,,,,,,
1511,6.044000,,,,,,,,,,,,,,,,,,,,,,,,
1512,6.048000,,,,,,,,,,,,,,,,,,,,,,,,
1513,6.052000,,,,,,,,,,,,,,,,,,,,,,,,
1514,6.056000,,,,,,,,,,,,,,,,,,,,,,,,
1515,6.060000,,,,,,,,,,,,,,,,,,,,,,,,
1516,6.064000,,,,,,,,,,,,,,,,,,,,,,,,
1517,6.068000,,,,,,,,,,,,,,,,,,,,,,,,
1518,6.072000,,,,,,,,,,,,,,,,,,,,,,,,
1519,6.076000,,,,,,,,,,,,,,,,,,,,,,,,
1520,6.080000,,,,,,,,,,,,,,,,,,,,,,,,
1521,6.084000,,,,,,,,,,,,,,,,,,,,,,,,
1522,6.088000,,,,,,,,,,,,,,,,,,,,,,,,
1523,6.092000,,,,,,,,,,,,,,,,,,,,,,,,
1524,6.096000,,,,,,,,,,,,,,,,,,,,,,,,
1525,6.100000,,,,,,,,,,,,,,,,,,,,,,,,
1526,6.104000,,,,,,,,,,,,,,,,,,,,,,,,
1527,6.108000,,,,,,,,,,,,,,,,,,,,,,,,
1528,6.112000,,,,,,,,,,,,,,,,,,,,,,,,
1529,6.116000,,,,,,,,,,,,,,,,,,,,,,,,
1530,6.120000,,,,,,,,,,,,,,,,,,,,,,,,
1531,6.124000,,,,,,,,,,,,,,,,,,,,,,,,
1532,6.128000,,,,,,,,,,,,,,,,,,,,,,,,
1533,6.132000,,,,,,,,,,,,,,,,,,,,,,,,
1534,6.136000,,,,,,,,,,,,,,,,,,,,,,,,
1535,6.140000,,,,,,,,,,,,,,,,,,,,,,,,
1536,6.144000,,,,,,,,,,,,,,,,,,,,,,,,
1537,6.148000,,,,,,,,,,,,,,,,,,,,,,,,
1538,6.152000,,,,,,,,,,,,,,,,,,,,,,,,
1539,6.156000,,,,,,,,,,,,,,,,,,,,,,,,
1540,6.160000,,,,,,,,,,,,,,,,,,,,,,,,
1541,6.164000,,,,,,,,,,,,,,,,,,,,,,,,
1542,6.168000,,,,,,,,,,,,,,,,,,,,,,,,
1543,6.172000,,,,,,,,,,,,,,,,,,,,,,,,
1544,6.176000,,,,,,,,,,,,,,,,,,,,,,,,
1545,6.180000,,,,,,,,,,,,,,,,,,,,,,,,
1546,6.184000,,,,,,,,,,,,,,,,,,,,,,,,
1547,6.188000,,,,,,,,,,,,,,,,,,,,,,,,
1548,6.192000,,,,,,,,,,,,,,,,,,,,,,,,
1549,6.196000,,,,,,,,,,,,,,,,,,,,,,,,
1550,6.200000,,,,,,,,,,,,,,,,,,,,,,,,
1551,6.204000,,,,,,,,,,,,,,,,,,,,,,,,
1552,6.208000,,,,,,,,,,,,,,,,,,,,,,,,
1553,6.212000,,,,,,,,,,,,,,,,,,,,,,,,
1554,6.216000,,,,,,,,,,,,,,,,,,,,,,,,
1555,6.220000,,,,,,,,,,,,,,,,,,,,,,,,
1556,6.224000,,,,,,,,,,,,,,,,,,,,,,,,
1557,6.228000,,,,,,,,,,,,,,,,,,,,,,,,
1558,6.232000,,,,,,,,,,,,,,,,,,,,,,,,
1559,6.236000,,,,,,,,,,,,,,,,,,,,,,,,
1560,6.240000,,,,,,,,,,,,,,,,,,,,,,,,
1561,6.244000,,,,,,,,,,,,,,,,,,,,,,,,
1562,6.248000,,,,,,,,,,,,,,,,,,,,,,,,
1563,6.252000,,,,,,,,,,,,,,,,,,,,,,,,
1564,6.256000,,,,,,,,,,,,,,,,,,,,,,,,
1565,6.260000,,,,,,,,,,,,,,,,,,,,,,,,
1566,6.264000,,,,,,,,,,,,,,,,,,,,,,,,
1567,6.268000,,,,,,,,,,,,,,,,,,,,,,,,
1568,6.272000,,,,,,,,,,,,,,,,,,,,,,,,
1569,6.276000,,,,,,,,,,,,,,,,,,,,,,,,
1570,6.280000,,,,,,,,,,,,,,,,,,,,,,,,
1571,6.284000,,,,,,,,,,,,,,,,,,,,,,,,
1572,6.288000,,,,,,,,,,,,,,,,,,,,,,,,
1573,6.292000,,,,,,,,,,,,,,,,,,,,,,,,
1574,6.296000,,,,,,,,,,,,,,,,,,,,,,,,
1575,6.300000,,,,,,,,,,,,,,,,,,,,,,,,
1576,6.304000,,,,,,,,,,,,,,,,,,,,,,,,
1577,6.308000,,,,,,,,,,,,,,,,,,,,,,,,
1578,6.312000,,,,,,,,,,,,,,,,,,,,,,,,
1579,6.316000,,,,,,,,,,,,,,,,,,,,,,,,
1580,6.320000,,,,,,,,,,,,,,,,,,,,,,,,
1581,6.324000,,,,,,,,,,,,,,,,,,,,,,,,
1582,6.328000,,,,,,,,,,,,,,,,,,,,,,,,
1583,6.332000,,,,,,,,,,,,,,,,,,,,,,,,
1584,6.336000,,,,,,,,,,,,,,,,,,,,,,,,
1585,6.340000,,,,,,,,,,,,,,,,,,,,,,,,
1586,6.344000,,,,,,,,,,,,,,,,,,,,,,,,
1587,6.348000,,,,,,,,,,,,,,,,,,,,,,,,
1588,6.352000,,,,,,,,,,,,,,,,,,,,,,,,
1589,6.356000,,,,,,,,,,,,,,,,,,,,,,,,
1590,6.360000,,,,,,,,,,,,,,,,,,,,,,,,
1591,6.364000,,,,,,,,,,,,,,,,,,,,,,,,
1592,6.368000,,,,,,,,,,,,,,,,,,,,,,,,
1593,6.372000,,,,,,,,,,,,,,,,,,,,,,,,
1594,6.376000,,,,,,,,,,,,,,,,,,,,,,,,
1595,6.380000,,,,,,,,,,,,,,,,,,,,,,,,
1596,6.384000,,,,,,,,,,,,,,,,,,,,,,,,
1597,6.388000,,,,,,,,,,,,,,,,,,,,,,,,
1598,6.392000,,,,,,,,,,,,,,,,,,,,,,,,
1599,6.396000,,,,,,,,,,,,,,,,,,,,,,,,
1600,6.400000,,,,,,,,,,,,,,,,,,,,,,,,
1601,6.404000,,,,,,,,,,,,,,,,,,,,,,,,
1602,6.408000,,,,,,,,,,,,,,,,,,,,,,,,
1603,6.412000,,,,,,,,,,,,,,,,,,,,,,,,
1604,6.416000,,,,,,,,,,,,,,,,,,,,,,,,
1605,6.420000,,,,,,,,,,,,,,,,,,,,,,,,
1606,6.424000,,,,,,,,,,,,,,,,,,,,,,,,
1607,6.428000,,,,,,,,,,,,,,,,,,,,,,,,
1608,6.432000,,,,,,,,,,,,,,,,,,,,,,,,
1609,6.436000,,,,,,,,,,,,,,,,,,,,,,,,
1610,6.440000,,,,,,,,,,,,,,,,,,,,,,,,
1611,6.444000,,,,,,,,,,,,,,,,,,,,,,,,
1612,6.448000,,,,,,,,,,,,,,,,,,,,,,,,
1613,6.452000,,,,,,,,,,,,,,,,,,,,,,,,
1614,6.456000,,,,,,,,,,,,,,,,,,,,,,,,
1615,6.460000,,,,,,,,,,,,,,,,,,,,,,,,
1616,6.464000,,,,,,,,,,,,,,,,,,,,,,,,
1617,6.468000,,,,,,,,,,,,,,,,,,,,,,,,
1618,6.472000,,,,,,,,,,,,,,,,,,,,,,,,
1619,6.476000,,,,,,,,,,,,,,,,,,,,,,,,
1620,6.480000,,,,,,,,,,,,,,,,,,,,,,,,
1621,6.484000,,,,,,,,,,,,,,,,,,,,,,,,
1622,6.488000,,,,,,,,,,,,,,,,,,,,,,,,
1623,6.492000,,,,,,,,,,,,,,,,,,,,,,,,
1624,6.496000,,,,,,,,,,,,,,,,,,,,,,,,
1625,6.500000,,,,,,,,,,,,,,,,,,,,,,,,
1626,6.504000,,,,,,,,,,,,,,,,,,,,,,,,
1627,6.508000,,,,,,,,,,,,,,,,,,,,,,,,
1628,6.512000,,,,,,,,,,,,,,,,,,,,,,,,
1629,6.516000,,,,,,,,,,,,,,,,,,,,,,,,
1630,6.520000,,,,,,,,,,,,,,,,,,,,,,,,
1631,6.524000,,,,,,,,,,,,,,,,,,,,,,,,
1632,6.528000,,,,,,,,,,,,,,,,,,,,,,,,
1633,6.532000,,,,,,,,,,,,,,,,,,,,,,,,
1634,6.536000,,,,,,,,,,,,,,,,,,,,,,,,
1635,6.540000,,,,,,,,,,,,,,,,,,,,,,,,
1636,6.544000,,,,,,,,,,,,,,,,,,,,,,,,
1637,6.548000,,,,,,,,,,,,,,,,,,,,,,,,
1638,6.552000,,,,,,,,,,,,,,,,,,,,,,,,
1639,6.556000,,,,,,,,,,,,,,,,,,,,,,,,
1640,6.560000,,,,,,,,,,,,,,,,,,,,,,,,
1641,6.564000,,,,,,,,,,,,,,,,,,,,,,,,
1642,6.568000,,,,,,,,,,,,,,,,,,,,,,,,
1643,6.572000,,,,,,,,,,,,,,,,,,,,,,,,
1644,6.576000,,,,,,,,,,,,,,,,,,,,,,,,
1645,6.580000,,,,,,,,,,,,,,,,,,,,,,,,
1646,6.584000,,,,,,,,,,,,,,,,,,,,,,,,
1647,6.588000,,,,,,,,,,,,,,,,,,,,,,,,
1648,6.592000,,,,,,,,,,,,,,,,,,,,,,,,
1649,6.596000,,,,,,,,,,,,,,,,,,,,,,,,
1650,6.600000,,,,,,,,,,,,,,,,,,,,,,,,
1651,6.604000,,,,,,,,,,,,,,,,,,,,,,,,
1652,6.608000,,,,,,,,,,,,,,,,,,,,,,,,
1653,6.612000,,,,,,,,,,,,,,,,,,,,,,,,
1654,6.616000,,,,,,,,,,,,,,,,,,,,,,,,
1655,6.620000,,,,,,,,,,,,,,,,,,,,,,,,
1656,6.624000,,,,,,,,,,,,,,,,,,,,,,,,
1657,6.628000,,,,,,,,,,,,,,,,,,,,,,,,
1658,6.632000,,,,,,,,,,,,,,,,,,,,,,,,
1659,6.636000,,,,,,,,,,,,,,,,,,,,,,,,
1660,6.640000,,,,,,,,,,,,,,,,,,,,,,,,
1661,6.644000,,,,,,,,,,,,,,,,,,,,,,,,
1662,6.648000,,,,,,,,,,,,,,,,,,,,,,,,
1663,6.652000,,,,,,,,,,,,,,,,,,,,,,,,
1664,6.656000,,,,,,,,,,,,,,,,,,,,,,,,
1665,6.660000,,,,,,,,,,,,,,,,,,,,,,,,
1666,6.664000,,,,,,,,,,,,,,,,,,,,,,,,
1667,6.668000,,,,,,,,,,,,,,,,,,,,,,,,
1668,6.672000,,,,,,,,,,,,,,,,,,,,,,,,
1669,6.676000,,,,,,,,,,,,,,,,,,,,,,,,
1670,6.680000,,,,,,,,,,,,,,,,,,,,,,,,
1671,6.684000,,,,,,,,,,,,,,,,,,,,,,,,
